Date,Daily_Streamflow_Node1,Daily_Streamflow_Node28,Daily_Streamflow_Node54,Daily_Streamflow_Node59
6/9/1981,0,0.088398979,0.17076,0.1860309
6/10/1981,1104.9359,871.66608,2.97,86.2524
6/11/1981,1475.4141,1342.2725,2.0761,133.5201
6/12/1981,1472.0267,687.66908,0.99654,68.06481
6/13/1981,1122.2827,369.09507,0.72017,36.81102
6/14/1981,445.27508,231.61078,0.52575,23.66594
6/15/1981,233.26779,139.64679,0.44024,14.48468
6/16/1981,130.59767,79.259783,0.42236,8.062818
6/17/1981,88.20808,54.694509,0.38301,5.818756
6/18/1981,65.14008,40.125799,0.24922,4.277638
6/19/1981,50.09482,30.948209,0.22128,3.476461
6/20/1981,44.52087,26.419168,0.22266,3.043643
6/21/1981,40.70618,27.80965,0.2544,2.998571
6/22/1981,46.85124,32.275289,0.27679,3.556654
6/23/1981,38.9513,22.607542,0.2393,2.604636
6/24/1981,33.81716,16.613202,0.22111,2.023301
6/25/1981,25.33385,13.382318,0.18143,1.000843
6/26/1981,20.50932,9.9813869,0.18071,1.053519
6/27/1981,16.45718,8.4540915,0.14917,1.006336
6/28/1981,13.21808,6.8464121,0.10571,0.8540375
6/29/1981,10.83482,6.1804337,0.10101,0.8989868
6/30/1981,10.37876,4.4530881,0.065271,0.6384072
7/1/1981,9.8987,4.6874612,0.04818,0.6720076
7/2/1981,8.36705,3.9078539,0.030189,0.7073764
7/3/1981,6.75479,3.0872146,0.021515,0.7446067
